M,D,g1,g2,f,crosstalk,f_ct,#extra_e,extra_edge,f_dec_ratio,ct_ratio,f_imp_r,f_imp_r_ct
10,30,15,39,0.5411977158134996,24,0.4792706306272284,0,[],0.11442599142013324,0.6153846153846154,0.0,0.0
10,28,15,36,0.5656274711068464,28,0.490862097800405,1,"[[1, 4]]",0.13218129798423156,0.7777777777777778,0.0451401670397394,0.024185640497116807
10,30,15,39,0.5411977158134996,24,0.4792706306272284,2,"[[8, 13], [5, 8]]",0.11442599142013324,0.6153846153846154,0.0,0.0
10,30,15,36,0.554427296764786,24,0.490986403662091,3,"[[8, 13], [1, 6], [10, 13]]",0.11442599142013306,0.6666666666666666,0.024445005151953282,0.024445005151953494
10,30,15,33,0.5679802748905849,24,0.5029885688291499,4,"[[1, 4], [8, 13], [10, 13], [6, 9]]",0.11442599142013328,0.7272727272727273,0.04948756858078595,0.0494875685807859
10,27,15,36,0.5713121216988657,24,0.5059391657631334,5,"[[2, 7], [8, 13], [2, 5], [7, 10], [5, 8]]",0.1144259914201329,0.6666666666666666,0.05564400034486416,0.055644000344864546
10,27,15,36,0.5713121216988657,24,0.5059391657631334,6,"[[9, 12], [2, 7], [10, 13], [2, 5], [7, 10], [5, 8]]",0.1144259914201329,0.6666666666666666,0.05564400034486416,0.055644000344864546
10,27,15,33,0.585277849457168,26,0.5130846493011139,7,"[[2, 7], [8, 13], [11, 14], [2, 5], [5, 8], [6, 11], [5, 10]]",0.1233485945572888,0.7878787878787878,0.08144922337192323,0.07055307901849223
10,33,15,33,0.551193920911222,20,0.4981098582948423,8,"[[2, 7], [8, 13], [11, 14], [2, 5], [9, 14], [5, 8], [6, 11], [5, 10]]",0.09630741668671214,0.6060606060606061,0.018470523443907375,0.03930812043074431
10,27,15,33,0.585277849457168,22,0.5235822050930249,8,"[[1, 4], [2, 7], [8, 13], [1, 6], [10, 13], [4, 9], [7, 10], [5, 10]]",0.10541257356888599,0.6666666666666666,0.08144922337192323,0.09245626924354884
