mode,#e,M,gates,gate_spec,coupling
transition,4,8,"[[(6, 9), (15, 16), (14, 17), (12, 13)], [(9, 16), (13, 17), (6, 14)], [(9, 15), (13, 14)], [(9, 14)], [(14, 15)]]","[[' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4'], [' U4', ' U4'], [' U4'], [' U4']]","[[6, 14], [9, 14], [14, 17], [9, 16]]"
normal,4,8,"[[(6, 9), (15, 16), (14, 17), (12, 13)], [(9, 16), (13, 17), (6, 14)], [(9, 15), (13, 14)], [(9, 14)], [(14, 15)]]","[[' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4'], [' U4', ' U4'], [' U4'], [' U4']]","[[6, 14], [9, 14], [14, 17], [9, 16]]"
transition,3,8,"[[(2, 8), (11, 12), (3, 4), (13, 17)], [(8, 12), (2, 3), (4, 13)], [(3, 12), (8, 11)], [(12, 13)], [(8, 12)], [(11, 12)]]","[[' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4'], [' swap', ' U4'], [' U4'], [' U4'], [' U4']]","[[8, 12], [3, 12], [4, 13]]"
normal,3,8,"[[(2, 8), (11, 12), (3, 4), (13, 14)], [(2, 3), (8, 12), (4, 13)], [(3, 12), (8, 11)], [(12, 13)], [(8, 12)], [(11, 12)]]","[[' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4'], [' swap', ' U4'], [' U4'], [' U4'], [' U4']]","[[8, 12], [3, 12], [4, 13]]"
transition,2,8,"[[(13, 17), (9, 14), (15, 16), (11, 12)], [(12, 17), (13, 14), (9, 15)], [(11, 12), (14, 15)], [(12, 17), (13, 14)], [(12, 13)], [(13, 17)]]","[[' U4', ' U4', ' U4', ' U4'], [' swap', ' U4', ' U4'], [' U4', ' U4'], [' U4', ' swap'], [' U4'], [' U4']]","[[9, 14], [12, 17]]"
normal,2,8,"[[(11, 12), (13, 17), (9, 14), (15, 16)], [(12, 17), (13, 14), (9, 15)], [(11, 12), (14, 15)], [(13, 14), (12, 17)], [(13, 17)], [(12, 13)]]","[[' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' U4'], [' swap', ' U4'], [' swap', ' U4'], [' U4'], [' U4']]","[[9, 14], [12, 17]]"
transition,1,8,"[[(8, 11), (12, 13), (1, 2), (3, 4)], [(2, 3), (11, 12)], [(3, 4)], [(2, 3)], [(2, 8)], [(1, 2)], [(2, 12)], [(2, 3)], [(2, 8)]]","[[' U4', ' U4', ' U4', ' U4'], [' swap', ' U4'], [' U4'], [' U4'], [' swap'], [' U4'], [' U4'], [' U4'], [' U4']]","[[2, 12]]"
normal,1,8,"[[(8, 11), (12, 13), (14, 15), (2, 3)], [(13, 14), (2, 8), (11, 12)], [(14, 15), (2, 12)], [(13, 14)], [(12, 13)], [(13, 14)], [(12, 13)]]","[[' U4', ' U4', ' U4', ' U4'], [' swap', ' U4', ' swap U4'], [' U4', ' U4'], [' U4'], [' swap'], [' U4'], [' U4']]","[[2, 12]]"
transition,0,8,"[[(12, 13), (14, 15), (10, 11), (6, 9)], [(9, 15), (11, 12), (13, 14)], [(6, 9), (12, 13)], [(13, 14), (9, 15)], [(14, 15)], [(9, 15)], [(14, 15)]]","[[' U4', ' U4', ' U4', ' U4'], [' swap', ' swap U4', ' U4'], [' U4', ' U4'], [' swap', ' U4'], [' swap'], [' U4'], [' U4']]",[]
normal,0,8,"[[(8, 11), (12, 13), (2, 3), (4, 5)], [(3, 4), (2, 8), (11, 12)], [(4, 5), (8, 11)], [(2, 8), (3, 4)], [(2, 3)], [(3, 4)], [(2, 3)]]","[[' U4', ' U4', ' U4', ' U4'], [' U4', ' U4', ' swap U4'], [' swap', ' U4'], [' swap', ' U4'], [' U4'], [' swap'], [' U4']]",[]
